ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_13:9213957-9214180,Scaffold_13,9213957,9214180,2,8,0.0864090322130543,0.138271537350937,0.0432045161065271,0.0172839421688671,2.49969108230122,NA,0.143439611891367,NA
Scaffold_10:44523012-44523362,Scaffold_10,44523012,44523362,2,9,0.010673258727797,0.0199269744714302,0.00533662936389849,0.00221410827460336,2.41028382627517,NA,0.145119183801333,NA
Scaffold_02:24224856-24225083,Scaffold_02,24224856,24225083,2,9,0.148782144142412,0.279050143829186,0.0743910720712061,0.0310055715365763,2.3992807867918,NA,0.146163562946386,NA
Scaffold_15:19151267-19151361,Scaffold_15,19151267,19151361,2,9,0.0685129528825603,0.128793557367856,0.0342564764412802,0.0143103952630951,2.39381762777886,NA,0.146685523829408,NA
Scaffold_07:13805102-13805171,Scaffold_07,13805102,13805171,2,9,0.343352543036059,0.651223838504392,0.17167627151803,0.0723582042782658,2.37258888926844,NA,0.1487355098433,NA
Scaffold_02:13103350-13103394,Scaffold_02,13103350,13103394,2,7,0.555690456480132,0.77306848819145,0.277845228240066,0.110438355455921,2.515839964232,NA,0.150210812276823,NA
Scaffold_07:42380390-42380575,Scaffold_07,42380390,42380575,2,7,1.11718361700451,1.55854419825735,0.558591808502253,0.222649171179621,2.50884297274842,NA,0.150823898814093,NA
Scaffold_13:6829593-6829631,Scaffold_13,6829593,6829631,2,7,0.952049997480506,1.33430911095371,0.476024998740253,0.190615587279102,2.49730363363858,NA,0.151842038535734,NA
Scaffold_03:14719536-14719864,Scaffold_03,14719536,14719864,2,9,0.691526068965034,1.33136868132965,0.345763034482517,0.147929853481072,2.33734453422383,NA,0.15221684686318,NA
Scaffold_14:18595554-18595572,Scaffold_14,18595554,18595572,2,8,0.427147746906654,0.719339241448511,0.213573873453327,0.0899174051810639,2.3752228283641,NA,0.154973873996604,NA
Scaffold_04:42996496-42996581,Scaffold_04,42996496,42996581,2,9,0.742062088785276,1.44639416107167,0.371031044392638,0.160710462341297,2.30869253306414,NA,0.155120629896761,NA
Scaffold_10:12794059-12794282,Scaffold_10,12794059,12794282,2,9,0.390608088716066,0.766082415590601,0.195304044358033,0.0851202683989556,2.29444817352607,NA,0.156589434482493,NA
Scaffold_14:44037949-44038142,Scaffold_14,44037949,44038142,2,7,0.380349222854372,0.54937311701067,0.190174611427186,0.0784818738586671,2.42316603920109,NA,0.15859864794249,NA
Scaffold_07:12472197-12472262,Scaffold_07,12472197,12472262,2,8,0.227143485921206,0.392775253820389,0.113571742960603,0.0490969067275486,2.31321585269805,NA,0.161152635288507,NA
Scaffold_01:80346877-80346983,Scaffold_01,80346877,80346983,2,9,0.136495251395634,0.27395954332742,0.0682476256978172,0.0304399492586022,2.24204137523425,NA,0.162141785678294,NA
